Day, Count
1, 0
2, 1
3, 4
4, 4
5, 7
6, 1
7, 6
8, 4
9, 2
10, 0
11, 1
12, 0
13, 1
14, 1
15, 0
16, 1
17, 0
18, 0
19, 1
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
