Day, Count
1, 0
2, 0
3, 1
4, 0
5, 1
6, 0
7, 2
8, 1
9, 2
10, 3
11, 4
12, 3
13, 2
14, 2
15, 2
16, 2
17, 0
18, 0
19, 0
20, 0
21, 1
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
